noc,cbo,rfc,lcom,ca,ce,npm,loc,dam,mfa,ic,cbm,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
0,19,18,0,8,15,4,84,0.0,0.5,0,0,3,True,True,0.5648697101501372,False,0.4,True,0.5205223002010652,AdaBoost,AdaBoost,True,0.5205223002010652
0,13,41,7,1,12,9,286,0.5,0.72,2,6,6,True,True,0.9551540785098944,True,1.0,True,0.6612616172618001,AdaBoost,AdaBoost,True,0.6612616172618001
0,4,38,0,0,4,9,287,1.0,0.0,0,0,5,False,True,0.5042844285031362,True,0.8,False,0.4950349501503861,AdaBoost,AdaBoost,False,0.4950349501503861
0,3,7,6,2,2,1,26,0.0,0.98125,2,3,3,False,True,0.5276484115532852,False,0.1,False,0.475746720948002,AdaBoost,Voting,True,0.5276484115532852
2,20,82,160,5,18,8,596,0.833333333,0.768421053,2,8,3,True,True,0.9923048544888528,True,1.0,True,0.9557381654967532,AdaBoost,AdaBoost,True,0.9557381654967532
3,13,6,10,10,3,0,8,0.0,0.0,0,0,1,False,False,0.17119002973992845,False,0.1,False,0.2092868013736238,AdaBoost,AdaBoost,False,0.2092868013736238
0,13,61,0,4,9,0,553,0.333333333,0.0,0,0,4,True,False,0.2421413605017791,True,0.8,True,0.6273954712370926,AdaBoost,AdaBoost,True,0.6273954712370926
0,6,34,34,1,6,7,323,0.7777777779999999,0.444444444,1,2,3,True,True,0.5748740765716912,True,0.6,True,0.5732800572532141,AdaBoost,AdaBoost,True,0.5732800572532141
0,8,36,58,1,7,13,191,1.0,0.0,0,0,1,False,True,0.5937670055501099,True,0.7,True,0.5957414861967976,AdaBoost,AdaBoost,True,0.5957414861967976
0,30,8,28,28,2,8,8,0.0,0.0,0,0,1,False,True,0.9554707353831956,True,1.0,True,0.6782898318994184,AdaBoost,AdaBoost,True,0.6782898318994184
0,3,7,0,2,1,3,125,0.14285714300000002,0.0,0,0,3,False,False,0.09031141464251964,False,0.2,False,0.36247954866296855,AdaBoost,AdaBoost,False,0.36247954866296855
0,2,19,0,1,1,8,65,0.0,0.708333333,1,4,1,False,False,0.13013371843491858,True,0.6,False,0.29353055303576914,AdaBoost,AdaBoost,False,0.29353055303576914
